,_class_name,_library,_group,_path,_lines
1061,LayoutMap,keras,TensorFlow/Keras,keras-3.3.3/keras/src/distribution/distribution_lib.py,117
1062,uppergamma,sympy,Other,sympy-sympy-1.12.1/sympy/functions/special/gamma_functions.py,160
1063,NaN,sympy,Other,sympy-sympy-1.12.1/sympy/core/numbers.py,114
1064,GenericUnivariateSelect,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/feature_selection/_univariate_selection.py,108
1065,nchypergeom_wallenius_gen,scipy,Other,scipy-1.13.1/scipy/stats/_discrete_distns.py,76
1066,_MatrixWrapper,sympy,Other,sympy-sympy-1.12.1/sympy/matrices/common.py,27
1067,KDTree,scipy,Other,scipy-1.13.1/scipy/spatial/_kdtree.py,661
1068,Subtract,keras,TensorFlow/Keras,keras-3.3.3/keras/src/layers/merging/subtract.py,42
1069,ArrayComprehension,sympy,Other,sympy-sympy-1.12.1/sympy/tensor/array/array_comprehension.py,328
1070,L1,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/regularizers.py,31
1071,UnitNormalization,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/layers/normalization/unit_normalization.py,48
1072,HuberLoss,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/_loss/loss.py,71
1073,L2,keras,TensorFlow/Keras,keras-3.3.3/keras/src/regularizers/regularizers.py,26
1074,Affine2DBase,matplotlib,Other,matplotlib-3.9.0/lib/matplotlib/transforms.py,68
1075,EnvironBuilder,werkzeug,Flask,werkzeug-3.0.3/src/werkzeug/test.py,587
1076,ComplexRootOf,sympy,Other,sympy-sympy-1.12.1/sympy/polys/rootoftools.py,836
1077,Birch,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/cluster/_birch.py,381
1078,boltzmann_gen,scipy,Other,scipy-1.13.1/scipy/stats/_discrete_distns.py,61
1079,ArgKminClassMode,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/metrics/_pairwise_distances_reduction/_dispatcher.py,162
1080,Adagrad,keras,TensorFlow/Keras,keras-3.3.3/keras/src/optimizers/adagrad.py,103
1081,DecisionTreeRegressor,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/tree/_classes.py,329
1082,TruncatedNormal,keras,TensorFlow/Keras,keras-3.3.3/keras/src/initializers/random_initializers.py,52
1083,ReductionV2,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/utils/losses_utils.py,62
1084,GridSearchCV,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/model_selection/_search.py,364
1085,RandomRotation,keras,TensorFlow/Keras,keras-3.3.3/keras/src/layers/preprocessing/random_rotation.py,245
1086,SmoothSphereBivariateSpline,scipy,Other,scipy-1.13.1/scipy/interpolate/_fitpack2.py,139
1087,StateMachine,sympy,Other,sympy-sympy-1.12.1/sympy/combinatorics/rewritingsystem_fsm.py,30
1088,MatMul,sympy,Other,sympy-sympy-1.12.1/sympy/matrices/expressions/matmul.py,214
1089,SensitivitySpecificityBase,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/metrics/confusion_metrics.py,113
1090,MathematicaParser,sympy,Other,sympy-sympy-1.12.1/sympy/parsing/mathematica.py,970
1091,Interval,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/utils/_param_validation.py,123
1092,Bucket,jinja,Flask,jinja-3.1.4/src/jinja2/bccache.py,55
1093,subfactorial,sympy,Other,sympy-sympy-1.12.1/sympy/functions/combinatorial/factorials.py,96
1094,Sequential,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/engine/sequential.py,461
1095,Tick,matplotlib,Other,matplotlib-3.9.0/lib/matplotlib/axis.py,345
1096,RepeatedKFold,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/model_selection/_split.py,64
1097,EarlyStopping,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/callbacks.py,174
1098,PerformanceWarning,pandas,Other,pandas-2.2.2/pandas/errors/__init__.py,24
1099,RBFInterpolator,scipy,Other,scipy-1.13.1/scipy/interpolate/_rbfinterp.py,417
1100,ParameterSampler,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/model_selection/_search.py,134
1101,LocalOutlierFactor,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/neighbors/_lof.py,497
1102,OutputCodeClassifier,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/multiclass.py,242
1103,BasinHoppingRunner,scipy,Other,scipy-1.13.1/scipy/optimize/_basinhopping.py,149
1104,CommonEndpoints,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/saving/legacy/saved_model/serialized_attributes.py,30
1105,LSTM,keras,TensorFlow/Keras,keras-3.3.3/keras/src/layers/rnn/lstm.py,351
1106,GrayCode,sympy,Other,sympy-sympy-1.12.1/sympy/combinatorics/graycode.py,314
1107,MatrixSlice,sympy,Other,sympy-sympy-1.12.1/sympy/matrices/expressions/slice.py,55
1108,LowerTriangularPredicate,sympy,Other,sympy-sympy-1.12.1/sympy/assumptions/predicates/matrices.py,27
1109,ActivityRegularization,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/layers/regularization/activity_regularization.py,31
1110,logaddexp,sympy,Other,sympy-sympy-1.12.1/sympy/codegen/numpy_nodes.py,40
1111,classproperty,matplotlib,Other,matplotlib-3.9.0/lib/matplotlib/_api/__init__.py,32
1112,TheilSenRegressor,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/linear_model/_theil_sen.py,249
1113,DataParallel,keras,TensorFlow/Keras,keras-3.3.3/keras/src/distribution/distribution_lib.py,119
1114,SimpleRNN,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/layers/rnn/simple_rnn.py,258
1115,BaseLink,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/_loss/link.py,65
1116,CovarDerivativeOp,sympy,Other,sympy-sympy-1.12.1/sympy/diffgeom/diffgeom.py,52
1117,_CachedPropertyResetterAdj,networkx,Other,networkx-networkx-3.3/networkx/classes/graph.py,20
1118,_Unstacker,pandas,Other,pandas-2.2.2/pandas/core/reshape/reshape.py,332
1119,SpectralCoclustering,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/cluster/_bicluster.py,153
1120,DrawingArea,matplotlib,Other,matplotlib-3.9.0/lib/matplotlib/offsetbox.py,110
1121,BaseEstimator,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/base.py,549
1122,BinaryFocalCrossentropy,keras,TensorFlow/Keras,keras-3.3.3/keras/src/losses/losses.py,171
1123,TensorLayout,keras,TensorFlow/Keras,keras-3.3.3/keras/src/distribution/distribution_lib.py,61
1124,Znm,sympy,Other,sympy-sympy-1.12.1/sympy/functions/special/spherical_harmonics.py,68
